cohort_year,year,event_time,ring,reference_ring,att,se,n_exposed,n_reference,exposed_delta_mean,reference_delta_mean
2018,2021,3,10_25km,gt_50km,-933.9905733625011,60.21499990961141,211070,182280,-1355.5712580565475,-421.58068469404645
2018,2021,3,25_50km,gt_50km,-936.7673238842266,58.022853995464885,244836,182280,-1358.348008578273,-421.58068469404645
2018,2022,4,0_5km,gt_50km,-1047.990231733317,90.6333014918217,38107,182280,-1623.303523297479,-575.313291564162
2018,2022,4,5_10km,gt_50km,-1069.6140694106946,82.58538808020185,59231,182280,-1644.9273609748566,-575.313291564162
2018,2022,4,10_25km,gt_50km,-837.9685326949452,58.145958908589414,211070,182280,-1413.2818242591072,-575.313291564162
2018,2022,4,25_50km,gt_50km,-743.2804048942166,57.43689685608158,244836,182280,-1318.5936964583786,-575.313291564162
2018,2023,5,0_5km,gt_50km,-987.2240866999242,88.07077377781327,38107,182280,-1800.7263752330382,-813.502288533114
2018,2023,5,5_10km,gt_50km,-1050.8719564327575,81.30936629950459,59231,182280,-1864.3742449658716,-813.502288533114
2018,2023,5,10_25km,gt_50km,-1008.4182035491873,55.35085745808804,211070,182280,-1821.9204920823013,-813.502288533114
2018,2023,5,25_50km,gt_50km,-902.2449287626822,54.850560825057,244836,182280,-1715.7472172957962,-813.502288533114
2018,2024,6,0_5km,gt_50km,-930.5391521122237,95.68246613874118,37030,172329,-1680.958153333023,-750.4190012207991
2018,2024,6,5_10km,gt_50km,-1003.2530883133261,85.31469212536116,57638,172329,-1753.6720895341252,-750.4190012207991
2018,2024,6,10_25km,gt_50km,-959.717579457711,59.28813671569569,207075,172329,-1710.1365806785102,-750.4190012207991
2018,2024,6,25_50km,gt_50km,-1152.7902732851705,57.309418911804244,241909,172329,-1903.2092745059697,-750.4190012207991
2018,2025,7,0_5km,gt_50km,-1145.861301665361,93.58768792204087,36836,170147,-1831.3282169213944,-685.4669152560334
2018,2025,7,5_10km,gt_50km,-1342.459208677885,80.35705908332483,57319,170147,-2027.9261239339185,-685.4669152560334
2018,2025,7,10_25km,gt_50km,-1387.873964421152,55.887687114758734,206145,170147,-2073.3408796771855,-685.4669152560334
2018,2025,7,25_50km,gt_50km,-1373.3610276882657,55.175965632382976,240560,170147,-2058.827942944299,-685.4669152560334
2019,2011,-8,0_5km,gt_50km,3304.842129169453,482.47158396598667,358,283417,1932.3744531513423,-1372.4676760181105
2019,2011,-8,5_10km,gt_50km,2545.31913353517,393.7184078707331,1278,283417,1172.8514575170593,-1372.4676760181105
2019,2011,-8,10_25km,gt_50km,1397.4453527694473,119.13133011802086,9508,283417,24.97767675133676,-1372.4676760181105
2019,2011,-8,25_50km,gt_50km,1251.454566584918,78.08838340484974,32509,283417,-121.01310943319257,-1372.4676760181105
2019,2012,-7,0_5km,gt_50km,2457.2047071298043,371.3514401003937,358,277532,1173.2624500326056,-1283.9422570971988
2019,2012,-7,5_10km,gt_50km,2166.6777087673563,396.2524556476372,1278,277532,882.7354516701573,-1283.9422570971988
2019,2012,-7,10_25km,gt_50km,1424.4702421884006,116.02742657051706,9508,277532,140.52798509120177,-1283.9422570971988
2019,2012,-7,25_50km,gt_50km,1485.0397376199364,84.06676823062628,32509,277532,201.0974805227377,-1283.9422570971988
