covariate_set,group,time,att,se
none,2011,2007,-362.307673377553,136.32480829735997
none,2011,2008,-1110.1494964652338,141.7339292378801
none,2011,2009,1325.8483428774541,125.67343787201808
none,2011,2010,-582.025129325967,128.45074208576898
none,2011,2011,-731.0815885725964,110.79424836034471
none,2011,2012,-469.7606893804538,129.61634275299923
none,2011,2013,-1348.1043720744995,118.56033877577215
none,2011,2014,-1009.7754158643636,153.62477031228752
none,2011,2015,-1047.4625017146986,123.94688016524024
none,2011,2016,-1375.0675101131087,137.9245010939986
none,2011,2017,-215.21425269807673,162.1589291984112
none,2011,2018,-1103.4998459277358,144.05722478916962
none,2011,2019,-1320.8695132955186,130.7799661638632
none,2011,2020,-1848.410930630941,125.68277293933434
none,2011,2021,-1193.0823053795684,130.98943989395823
none,2011,2022,-1487.0871135039379,123.65459593321611
none,2011,2023,-1136.2188559797937,117.44255097011074
none,2011,2024,-1128.1547293627098,131.50683857692437
none,2011,2025,-893.4762707902476,131.1740497600868
none,2012,2002,-1062.9019168749642,265.06007902656296
none,2012,2003,1774.4928845018323,276.84783187411153
none,2012,2004,-1228.3644992634565,270.7739974873119
none,2012,2005,788.3216412935135,247.29670111522395
none,2012,2006,-521.6116060633777,322.35931169774744
none,2012,2007,-583.1818983380929,187.6501318224385
none,2012,2008,274.50058093996705,204.14172271890476
none,2012,2009,665.2778606587319,343.69797144491054
none,2012,2010,-10.28978357185342,362.4890164767715
none,2012,2011,-481.656676451155,227.54613851123491
none,2012,2012,-184.60423525422192,163.99318887172126
none,2012,2013,-523.0286091677964,128.34918135907375
none,2012,2014,-708.7915849783964,155.8581661981418
none,2012,2015,63.40472017784042,224.3027539289675
none,2012,2016,-696.3740984656274,280.1571107788893
none,2012,2017,-899.421327391075,313.00553024683217
none,2012,2018,-33.820820454912564,423.58405489570777
none,2012,2019,-304.7790828588372,375.93374035021696
none,2012,2020,-1197.498093135422,209.12922897426074
none,2012,2021,-455.9152264500264,264.5174957084171
none,2012,2022,-945.654153929061,163.2226629498429
none,2012,2023,-135.95792519236025,200.5331689947591
none,2012,2024,-172.3783818652322,210.31760118985426
none,2012,2025,-165.44577804874496,249.0753631788133
none,2013,2002,-295.53784288841746,136.48612538834902
none,2013,2003,988.118192858531,197.54747747292612
none,2013,2004,-1209.9705784173605,219.50190865577287
none,2013,2005,559.5934889820214,163.78474000649032
none,2013,2006,462.24892601070866,233.02175954608015
none,2013,2007,-970.1074849160332,234.21036833861444
none,2013,2008,391.77060209299674,196.05522756465928
none,2013,2009,231.09838910413052,201.8763387516884
none,2013,2010,-291.96132733276556,179.16693787208237
none,2013,2011,283.29120423074244,185.29701618517913
none,2013,2012,25.622712316884844,199.08860322800777
none,2013,2013,-516.2816499100902,174.53547548461069
none,2013,2014,-320.2254821051523,267.5965067049261
none,2013,2015,-233.47717695007543,161.40299973112954
none,2013,2016,23954.5720135534,2620.3562991835342
none,2013,2017,-1077.3302651201593,228.77516218799207
none,2013,2018,-1280.3772189725912,200.89952790472557
none,2013,2019,869.5003880676506,703.3484359204365
none,2013,2020,-1609.1753557042837,178.97278114309503
none,2013,2021,-840.700464746433,232.20481484416828
none,2013,2022,-929.5105723456531,177.50005131106326
none,2013,2023,-492.35199938249343,183.6220749736516
none,2013,2024,-743.2549934079063,159.03489996589462
none,2013,2025,-413.9343956592704,178.67108982095695
none,2014,2002,-2395.557257001548,517.0226119502361
none,2014,2003,92.43817411496622,146.3419806323712
none,2014,2004,8.16089731744762,230.7773583246321
none,2014,2005,-66.79015607794162,240.09178216298227
none,2014,2006,354.98360757881824,160.5711686731894
none,2014,2007,1362.4409918321085,458.698831744016
none,2014,2008,-1134.2465367550635,718.2068167983551
none,2014,2009,131.52631108911015,729.9091834811228
none,2014,2010,-686.1002592906208,227.07818865648113
none,2014,2011,111.81849419081803,268.6060908260187
none,2014,2012,388.59132816620263,286.98181411754905
none,2014,2013,-583.6994702322498,271.20638893541866
none,2014,2014,-361.94526412783455,189.2181195882515
none,2014,2015,302.30499709015834,346.2729685153903
none,2014,2016,-391.905171239445,383.83450120071393
none,2014,2017,-1231.8645432349922,438.5042390687003
none,2014,2018,-1352.3561342664584,191.57908809167012
none,2014,2019,-12.2201709260097,584.2583490366228
none,2014,2020,-1298.6978142414494,210.82473370770938
none,2014,2021,-386.8081567125997,311.21824039350616
none,2014,2022,-588.1375301366477,258.4941114009367
none,2014,2023,-507.1883951858895,181.01227664478031
none,2014,2024,-464.3824620490316,181.15367771458577
none,2014,2025,168.21788743567382,399.5456378167601
none,2018,2002,-581.272401169276,83.97297269210833
none,2018,2003,313.15904691111587,71.35136469831141
none,2018,2004,56.00671422674543,96.64375530972578
none,2018,2005,-49.75510354164635,100.75917108007147
none,2018,2006,757.3939808734079,119.9707116738111
none,2018,2007,-1107.4499484339658,117.21383503240467
none,2018,2008,-69.32815286520885,98.58389316453245
none,2018,2009,697.6400763858273,97.75922782267688
none,2018,2010,132.09180000719692,111.71713047958033
none,2018,2011,-303.4101623243447,103.14302710406861
none,2018,2012,66.73748077436167,82.34306865904804
none,2018,2013,-623.570814542479,70.43464410013334
none,2018,2014,-15.001828205960521,76.85790356498764
none,2018,2015,128.1666151725213,87.15128922344987
none,2018,2016,-546.6247677762678,82.76628561008937
none,2018,2017,-125.25142800731226,104.66170156855144
none,2018,2018,-240.24321611174315,105.06550832775753
none,2018,2019,24.471452677418142,102.17747589574118
none,2018,2020,-362.4644896923163,112.36419111217891
none,2018,2021,227.09404300265066,121.1038703411979
none,2018,2022,261.95933835913456,109.92731230398476
none,2018,2023,712.4322225618424,112.49420339198836
none,2018,2024,663.7917315385175,122.11640924119453
none,2018,2025,502.99740034926674,105.09382510640805
none,2019,2002,1194.232005179877,1199.583091740395
none,2019,2003,-562.565742706699,1167.8063410511215
none,2019,2004,1843.6925813074295,2627.6795968191905
none,2019,2005,-322.523836513604,1991.0220494454773
none,2019,2006,-1679.7878610623713,1556.1532384243292
none,2019,2007,588.3463596650998,976.4766582039703
none,2019,2008,-1072.1466461587167,1242.0611699563096
none,2019,2009,5385.355614446096,3463.9048923612745
none,2019,2010,-4927.6147200487,3348.2696350882184
none,2019,2011,2237.439432342363,1138.4982352058094
none,2019,2012,-401.19680216162544,1221.2902992241568
none,2019,2013,-1348.3776016916884,754.1854924857316
none,2019,2014,-776.0721860867905,301.45433582010276
none,2019,2015,599.381107477401,464.5991707621603
none,2019,2016,-652.7014064056193,383.3205057643378
none,2019,2017,2119.720161855008,1621.002165809653
none,2019,2018,-2942.3865257922434,1892.9903867728192
none,2019,2019,1254.7196896725163,562.9225934033467
none,2019,2020,3767.1132807825757,4362.444119142382
none,2019,2021,1094.45111369594,1166.3580203608844
none,2019,2022,2252.1272008404376,1573.3285702332416
none,2019,2023,1340.0579332875332,1072.8440270891485
none,2019,2024,1483.485801635035,1161.878810370971
none,2019,2025,1703.9741267360655,1073.844874884651
none,2020,2002,-115.12296343533183,30.265121684041834
none,2020,2003,429.00660526277335,28.697665423919073
none,2020,2004,-467.24194583409775,46.31822594509451
none,2020,2005,179.11841216936512,46.26922025050802
none,2020,2006,354.8506616742856,29.189113801938664
none,2020,2007,-766.3497300956451,32.860020188757005
none,2020,2008,-8.689605763581337,36.776223643062735
none,2020,2009,515.8475392842713,41.54608416678925
none,2020,2010,-44.89601030065897,38.439946735909956
none,2020,2011,142.41684418477843,30.71020903259632
none,2020,2012,-140.60714571411776,32.603465789459776
none,2020,2013,-6.194260890980601,33.76716903769931
none,2020,2014,-436.2699092851214,29.355535785521642
none,2020,2015,310.1444871117973,24.176787959526585
none,2020,2016,-767.8098739404115,32.824265235967424
none,2020,2017,-448.05528467897864,58.57742807113214
none,2020,2018,1060.0823820182745,113.74760772405057
