group,time,event_time,att_no_covariate_recomputed,spatial_hac_se,hac_n_units,hac_n_pairs_used,hac_truncated,hac_cutoff_km,hac_kernel
2010,2012,2,-290.43012050868424,149.92988278740623,366223,50000000,True,25,bartlett
2010,2013,3,-736.4872891133762,155.51327861705417,366223,50000000,True,25,bartlett
2010,2014,4,-1196.2800347868954,183.5371581368061,366223,50000000,True,25,bartlett
2010,2015,5,-986.6778722803439,142.0962104717777,366223,50000000,True,25,bartlett
2010,2016,6,-1388.9157355828656,214.2677661488106,366223,50000000,True,25,bartlett
2010,2017,7,-1999.4690732720705,208.86521684731005,366223,50000000,True,25,bartlett
2010,2018,8,-2178.8922070135536,143.3090627977198,366223,50000000,True,25,bartlett
2010,2019,9,-1812.1312366799089,143.33128162099945,366223,50000000,True,25,bartlett
2010,2020,10,-2239.7318295852824,140.0861252142213,366223,50000000,True,25,bartlett
2010,2021,11,-1673.333160100498,188.6817431883708,366223,50000000,True,25,bartlett
2010,2022,12,-1570.859312718561,159.4988039473771,366223,50000000,True,25,bartlett
2010,2023,13,-1033.3971593253807,168.00917393123652,366223,50000000,True,25,bartlett
2010,2024,14,-429.38777909626003,253.22970029227324,366223,50000000,True,25,bartlett
2010,2025,15,-1039.5598400848012,172.14811246134082,366223,50000000,True,25,bartlett
2011,2002,-9,-277.0942351288661,133.20356910025555,377300,50000000,True,25,bartlett
2011,2003,-8,17.98923625499924,130.7647247672993,377300,50000000,True,25,bartlett
2011,2004,-7,983.086449830325,155.45798978163074,377300,50000000,True,25,bartlett
2011,2005,-6,251.77778397582475,139.12684246739195,377300,50000000,True,25,bartlett
2011,2006,-5,728.6339562912997,133.5648762237385,377300,50000000,True,25,bartlett
2011,2007,-4,366.3262829137468,151.97313768719036,377300,50000000,True,25,bartlett
2011,2008,-3,-743.8232135514872,126.46362105599744,377300,50000000,True,25,bartlett
2011,2009,-2,582.025129325967,128.47561909145972,377300,50000000,True,25,bartlett
2011,2010,-1,0.0,0.0,377300,50000000,True,25,bartlett
2011,2011,0,-731.0815885725964,110.827892090507,377300,50000000,True,25,bartlett
2011,2012,1,-469.7606893804538,129.62708756184998,377300,50000000,True,25,bartlett
2011,2013,2,-1348.1043720744995,118.57597776255533,377300,50000000,True,25,bartlett
2011,2014,3,-1009.7754158643636,153.71303710848343,377300,50000000,True,25,bartlett
2011,2015,4,-1047.4625017146986,123.9902721352949,377300,50000000,True,25,bartlett
2011,2016,5,-1375.0675101131087,138.63849614216272,377300,50000000,True,25,bartlett
2011,2017,6,-215.21425269807673,163.96868226486293,377300,50000000,True,25,bartlett
2011,2018,7,-1103.4998459277358,145.7558623586413,377300,50000000,True,25,bartlett
2011,2019,8,-1320.8695132955186,137.85715341153923,377300,50000000,True,25,bartlett
2011,2020,9,-1848.410930630941,127.03352766800722,377300,50000000,True,25,bartlett
2011,2021,10,-1193.0823053795684,131.44644708453146,377300,50000000,True,25,bartlett
