covariate_set,group,time,att,se,att_csdid,se_csdid,att_difference_diffdiff_minus_csdid
none,2008,2023,248.44659321994243,122.73959878088392,248.4466,122.7177,-6.780057560717978e-06
none,2008,2024,47.53816542458685,111.70406957078661,47.5382,111.6844,-3.457541315299295e-05
none,2008,2025,213.1230982482614,123.97356885784289,213.1231,123.9515,-1.751738579969242e-06
none,2009,2002,-156.07088460393425,56.59661798133433,-156.0709,56.5949,1.5396065748518595e-05
none,2009,2003,319.3848673524476,50.96816791834305,319.3849,50.9666,-3.2647552416165126e-05
none,2009,2004,-373.26094817179717,55.05610012587226,-373.2609,55.0544,-4.817179717520048e-05
none,2009,2005,180.52872582801658,54.99111808560097,180.5287,54.9895,2.5828016589457548e-05
none,2009,2006,170.51935016058235,45.45341769673984,170.5194,45.4521,-4.9839417641805994e-05
none,2009,2007,-797.3506094248585,47.29155643390868,-797.3506,47.2903,-9.424858490092447e-06
none,2009,2008,64.73145875665308,50.6164880860238,64.7315,50.6151,-4.124334691368858e-05
none,2009,2009,629.052534502876,56.90430301055111,629.0525,56.9027,3.4502876019359974e-05
none,2009,2010,707.8037064169968,63.50540088160147,707.8037,63.5035,6.416996711777756e-06
none,2009,2011,559.7714595870498,50.298766520723014,559.7715,50.2974,-4.041295017032098e-05
none,2009,2012,541.8791212960552,51.28970451182296,541.8791,51.2883,2.129605525169609e-05
none,2009,2013,407.6681415885665,47.69337342380729,407.6681,47.6922,4.158856654612464e-05
none,2009,2014,88.32560022696472,49.72353795253808,88.3256,49.7223,2.269647296770927e-07
none,2009,2015,345.8815167066206,42.76620705050955,345.8815,42.7652,1.6706620556306007e-05
none,2009,2016,-16.299007638548574,64.84187219275377,-16.299,64.8402,-7.638548574107062e-06
none,2009,2017,-918.4343792444433,66.18066439109582,-918.4344,66.179,2.0755556647600315e-05
none,2009,2018,-589.2230926491613,57.9291660886481,-589.2231,57.9278,7.350838700403983e-06
none,2009,2019,-298.93628002247533,51.137061411965036,-298.9363,51.1359,1.9977524686964898e-05
none,2009,2020,-603.8848349276275,60.30735790553062,-603.8848,60.306,-3.49276274391741e-05
none,2009,2021,-253.92974698672205,57.93224254808406,-253.9297,57.9308,-4.6986722054498387e-05
none,2009,2022,-117.95239383746213,52.25000683060246,-117.9524,52.2488,6.162537872000939e-06
none,2009,2023,327.39436195351635,51.303180796041296,327.3944,51.3019,-3.804648366667607e-05
none,2009,2024,338.6986712825791,50.14573086339693,338.6987,50.1445,-2.871742088927931e-05
none,2009,2025,327.9116497688338,54.16469665711119,327.9116,54.1633,4.976883377594277e-05
none,2010,2002,-239.01850371527527,193.6270598033402,-239.0185,193.5414,-3.7152752838665037e-06
none,2010,2003,-62.738014213487986,148.8512032608781,-62.738,148.7857,-1.421348798658073e-05
none,2010,2004,66.85411433065588,119.08255196396534,66.8541,119.0306,1.4330655872640818e-05
none,2010,2005,-100.40242043871831,125.39828283529035,-100.4024,125.3435,-2.0438718308923853e-05
none,2010,2006,928.1312009976435,167.8447200091587,928.1312,167.7705,9.97643496702949e-07
none,2010,2007,-1569.1189838225073,166.14894423465338,-1569.119,166.0759,1.6177492625502055e-05
none,2010,2008,280.9067716289836,117.28043109121424,280.9068,117.2301,-2.83710163557771e-05
none,2010,2009,1003.087185565603,151.43218509518658,1003.0872,151.366,-1.443439703052718e-05
none,2010,2010,-438.2503676308168,161.3889430868826,-438.2504,161.3176,3.236918320226323e-05
none,2010,2011,-177.00414453767957,169.41652871100743,-177.0041,169.3418,-4.4537679571021727e-05
none,2010,2012,-290.43012050868424,149.96549259264864,-290.4301,149.8995,-2.0508684258402354e-05
none,2010,2013,-736.4872891133762,155.53015160706641,-736.4873,155.4618,1.0886623840633547e-05
none,2010,2014,-1196.2800347868954,183.54844028543977,-1196.28,183.4676,-3.4786895412253216e-05
none,2010,2015,-986.6778722803439,142.06835442832846,-986.6779,142.0061,2.771965614556393e-05
none,2010,2016,-1388.9157355828656,213.92563874499942,-1388.9157,213.8317,-3.5582865621108795e-05
none,2010,2017,-1999.4690732720705,207.69317595135738,-1999.4691,207.6026,2.6727929480330204e-05
none,2010,2018,-2178.8922070135536,142.56406251966365,-2178.8922,142.503,-7.013553840806708e-06
none,2010,2019,-1812.1312366799089,136.58073998677327,-1812.1312,136.5219,-3.6679908816950046e-05
none,2010,2020,-2239.7318295852824,139.14659159847528,-2239.7318,139.0874,-2.9585282391053624e-05
none,2010,2021,-1673.333160100498,188.50016372484157,-1673.3332,188.4176,3.989950209870585e-05
none,2010,2022,-1570.859312718561,159.2591140717253,-1570.8593,159.1897,-1.2718560810753843e-05
none,2010,2023,-1033.3971593253807,167.98974209480207,-1033.3972,167.916,4.067461941303918e-05
none,2010,2024,-429.38777909626003,253.27618863275728,-429.3878,253.164,2.090373999408257e-05
none,2010,2025,-1039.5598400848012,172.15997062338297,-1039.5598,172.0844,-4.0084801185003016e-05
none,2011,2002,-428.75622683198566,101.95383150815748,-428.7562,101.9499,-2.6831985678654746e-05
none,2011,2003,295.08347138386546,98.6321606300569,295.0835,98.6283,-2.8616134557069017e-05
none,2011,2004,965.0972135753253,128.95251153098363,965.0972,128.9475,1.3575325283454731e-05
none,2011,2005,-731.3086658545002,136.40365157098594,-731.3087,136.3983,3.4145499853366346e-05
none,2011,2006,476.85617231547496,128.40386887136793,476.8562,128.3988,-2.768452503687513e-05
none,2011,2007,-362.307673377553,136.32480829735997,-362.3077,136.3195,2.6622447023783025e-05
none,2011,2008,-1110.1494964652338,141.7339292378801,-1110.1495,141.7284,3.534766165103065e-06
none,2011,2009,1325.8483428774541,125.67343787201808,1325.8483,125.6686,4.2877454006884363e-05
none,2011,2010,-582.025129325967,128.45074208576898,-582.0251,128.4457,-2.9325967034310452e-05
none,2011,2011,-731.0815885725964,110.79424836034471,-731.0816,110.7899,1.1427403592279006e-05
none,2011,2012,-469.7606893804538,129.61634275299923,-469.7607,129.6113,1.0619546173984418e-05
none,2011,2013,-1348.1043720744995,118.56033877577215,-1348.1044,118.5557,2.792550048980047e-05
none,2011,2014,-1009.7754158643636,153.62477031228752,-1009.7754,153.6187,-1.5864363604123355e-05
none,2011,2015,-1047.4625017146986,123.94688016524024,-1047.4625,123.942,-1.7146985555882566e-06
none,2011,2016,-1375.0675101131087,137.9245010939986,-1375.0675,137.9192,-1.0113108601217391e-05
none,2011,2017,-215.21425269807673,162.1589291984112,-215.2143,162.1527,4.730192327428995e-05
none,2011,2018,-1103.4998459277358,144.05722478916962,-1103.4998,144.0517,-4.592773575495812e-05
none,2011,2019,-1320.8695132955186,130.7799661638632,-1320.8695,130.7749,-1.3295518556333263e-05
none,2011,2020,-1848.410930630941,125.68277293933434,-1848.4109,125.678,-3.063094095523411e-05
none,2011,2021,-1193.0823053795684,130.98943989395823,-1193.0823,130.9844,-5.37956839252729e-06
none,2011,2022,-1487.0871135039379,123.65459593321611,-1487.0871,123.6498,-1.3503937907444197e-05
none,2011,2023,-1136.2188559797937,117.44255097011074,-1136.2189,117.438,4.4020206360073644e-05
none,2011,2024,-1128.1547293627098,131.50683857692437,-1128.1547,131.5017,-2.9362709710767376e-05
none,2011,2025,-893.4762707902476,131.1740497600868,-893.4763,131.169,2.9209752483438933e-05
none,2012,2002,-1062.9019168749642,265.06007902656296,-1062.9019,264.9133,-1.6874964103408274e-05
none,2012,2003,1774.4928845018323,276.84783187411153,1774.4929,276.6944,-1.5498167613259284e-05
none,2012,2004,-1228.3644992634565,270.7739974873119,-1228.3645,270.624,7.365433702943847e-07
none,2012,2005,788.3216412935135,247.29670111522395,788.3216,247.1599,4.129351350457e-05
none,2012,2006,-521.6116060633777,322.35931169774744,-521.6116,322.1804,-6.06337778208399e-06
none,2012,2007,-583.1818983380929,187.6501318224385,-583.1819,187.5469,1.6619071629975224e-06
none,2012,2008,274.50058093996705,204.14172271890476,274.5006,204.0296,-1.9060032968809537e-05
none,2012,2009,665.2778606587319,343.69797144491054,665.2779,343.5074,-3.934126812055183e-05
none,2012,2010,-10.28978357185342,362.4890164767715,-10.2898,362.2877,1.642814657998315e-05
none,2012,2011,-481.656676451155,227.54613851123491,-481.6567,227.4202,2.3548844978904526e-05
none,2012,2012,-184.60423525422192,163.99318887172126,-184.6042,163.9029,-3.525422192751648e-05
none,2012,2013,-523.0286091677964,128.34918135907375,-523.0286,128.2793,-9.167796406472917e-06
none,2012,2014,-708.7915849783964,155.8581661981418,-708.7916,155.7729,1.5021603644527204e-05
none,2012,2015,63.40472017784042,224.3027539289675,63.4047,224.1788,2.0177840418966753e-05
none,2012,2016,-696.3740984656274,280.1571107788893,-696.3741,280.0026,1.5343725863203872e-06
none,2012,2017,-899.421327391075,313.00553024683217,-899.4213,312.8331,-2.7391075036575785e-05
none,2012,2018,-33.820820454912564,423.58405489570777,-33.8208,423.3494,-2.045491256552623e-05
none,2012,2019,-304.7790828588372,375.93374035021696,-304.7791,375.7255,1.714116280027156e-05
none,2012,2020,-1197.498093135422,209.12922897426074,-1197.4981,209.0153,6.864577926535276e-06
none,2012,2021,-455.9152264500264,264.5174957084171,-455.9152,264.3717,-2.6450026382462966e-05
none,2012,2022,-945.654153929061,163.2226629498429,-945.6542,163.1338,4.607093899267056e-05
none,2012,2023,-135.95792519236025,200.5331689947591,-135.9579,200.4228,-2.5192360254777668e-05
none,2012,2024,-172.3783818652322,210.31760118985426,-172.3784,210.2018,1.8134767799438123e-05
none,2012,2025,-165.44577804874496,249.0753631788133,-165.4458,248.9379,2.195125503590134e-05
none,2013,2002,-295.53784288841746,136.48612538834902,-295.5378,136.4475,-4.2888417453923466e-05
none,2013,2003,988.118192858531,197.54747747292612,988.1182,197.491,-7.141469041016535e-06
none,2013,2004,-1209.9705784173605,219.50190865577287,-1209.9706,219.4391,2.1582639647022006e-05
none,2013,2005,559.5934889820214,163.78474000649032,559.5935,163.7382,-1.1017978522431804e-05
none,2013,2006,462.24892601070866,233.02175954608015,462.2489,232.955,2.6010708666035498e-05
none,2013,2007,-970.1074849160332,234.21036833861444,-970.1075,234.1434,1.5083966786733072e-05
none,2013,2008,391.77060209299674,196.05522756465928,391.7706,195.9995,2.092996737701469e-06
none,2013,2009,231.09838910413052,201.8763387516884,231.0984,201.8189,-1.0895869479554676e-05
none,2013,2010,-291.96132733276556,179.16693787208237,-291.9613,179.1157,-2.7332765569099138e-05
none,2013,2011,283.29120423074244,185.29701618517913,283.2912,185.2441,4.23074243371957e-06
none,2013,2012,25.622712316884844,199.08860322800777,25.6227,199.0317,1.2316884845375853e-05
